PhraseSg	PhrasePl	TranscriptionSg	TranscriptionPl	Translation	Notes
باب	أبواب	bāb	abwāb	drzwi
بيت	بيوت	bayt	buyūt	dom
جديد	جدد	jadīd	judud	nowy
جدار	جدران	jidār	judrān	ściana
جميل	جميلون	jamīl	jamīlūn	piękny
جهاز	أجهزة	jihāz	ajhiza	aparat; urządzenie
أب	آباء	ab	ābāʾ	ojciec
أخ	إخوة	aḫ	iḫwa	brat
أخت	أخوات	uḫt	aḫawāt	siostra
أرض	أراض	arḍ	arāḍ	ziemia
أمّ	أمّهات	umm	ummahāt	matka
آنسة	آنسات	ānisa	ānisāt	panna; pani
جيّد	جيّدون	jayyid	jayyidūn	dobry
حديقة	حدائق	ḥadīqa	ḥadāʾiq	ogród
حرف	حروف	ḥarf	ḥurūf	litera
حمّام	حمّامات	ḥammām	ḥammāmāt	łazienka
حال	أحوال	ḥāl	aḥwāl	sytuacja
خزانة	خزائن	ḫizāna	ḫazāʾin	szafa
راديو	راديوهات	rādiyū	rādiyūhāt	radio
رجل	رجال	rajul	rijāl	mężczyzna
سرير	أسرّة	sarīr	asirra	łóżko
سقف	سقوف	saqf	suqūf	sufit
إسم	أسماء	ism	asmāʾ	imię
سيّد	سادة	sayyid	sāda	pan
سيّدة	سيّدات	sayyida	sayyidāt	pani
شبّاك	شبابيك	šubbāk	šabābīk	okno
شنطة	شنط	šanṭa	šunṭ	torba
مصباح	مصابيح	miṣbāḥ	maṣābīḥ	lampa
صديق	أصدقاء	ṣadīq	aṣdiqāʾ	przyjaciel
صديقة	صديقات	ṣadīqa	ṣadīqāt	przyjaciółka
صغير	صغار	ṣaġīr	ṣiġār	mały; niski
طاولة	طاولات	ṭāwila	ṭāwilāt	stół
طبيب	أطبّاء	ṭabīb	aṭibbāʾ	lekarz
طبيبة	طبيبات	ṭabība	ṭabībāt	lekarka
مطبخ	مطابخ	maṭbaḫ	maṭābiḫ	kuchnia
طالب	طلّاب	ṭālib	ṭullāb	student
طالبة	طالبات	ṭāliba	ṭālibāt	studentka
طويل	طوال	ṭawīl	ṭiwāl	długi; wysoki
طيّب	طيّبون	ṭayyib	ṭayyibūn	dobry
معلّم	معلّمون	muʿallim	muʿallimūn	nauczyciel
معلّمة	معلّمات	muʿallima	muʿallimāt	nauczycielka
عائلة	عائلات	ʿāʾila	ʿāʾilāt	rodzina
غرفة	غرف	ġurfa	ġuraf	pokój; izba
فتاة	فتيات	fatā	fityāt	dziewczyna
قديم	قدماء	qadīm	qudamāʾ	stary
قصير	قصار	qaṣīr	qiṣār	krótki; niski
قلم	أقلام	qalam	aqlām	ołówek
كبير	كبار	kabīr	kibār	duży
كتاب	كتب	kitāb	kutub	książka
كرّاسة	كراريس	kurrāsa	karārīs	zeszyt
كرسيّ	كراسيّ	kursiyy	karāsiyy	krzesło
لوح	ألواح	lawḥ	alwāḥ	tablica
مدينة	مدن	madīna	mudun	miasto
نظيف	نظفاء	naẓīf	nuẓafāʾ	czysty
ورق	أوراق	waraq	awrāq	papier
