Phrase	Transcription	Translation	Notes
صباح الخير		ṣabāḥ əl-ḫēr
صباح النور		ṣabāḥ ən-nūr
مساء الخير		masāʾ əl-ḫēr
مساء النور		masāʾ ən-nūr
إزيك؟			Əzzayyak?
كويس			kwayyis
الحمد لله		Əl-ḥamdu li l-Lāh
اسمي  Əsmī
آسف   Āsif
معلش  Maʿleš
خلاص  ḫalāṣ
عامل إيه؟	ʿĀmel ē?
كله تمام	Kullu tamām
سلام		salām
مع السلامة	Maʿa s-salāma
الله يسلمك	Al-Lāh yisallemak
أشوفك بكرة	Ašūfak bukra
إن شاء الله	In šāʾ al-Lāh
الجنسيات	əl-gensiyyāt
مصري		Maṣrī
أمريكي		Amrīkī
إنجليزي	Ənglīzī
هندي	Hindī
أنا مش من أمريكا	Anā miš min Amrīkā
أنا من Anā min
إنت منين؟  Ənta minēn?
اتشرفنا	   Ətšarrafnā
الشرف ليا  Əš-šaraf liyya
حضرتك ديفيد؟	    Ḥaḍretak David?
لا أنا مش ديفيد	    Lā, anā miš David
