Phrase	Translation	Notes
играть	grać
идти	iść
извиняться	przepraszać
изменить	zmienić
поменять	zmienić
изучать	studiować
иметь	mieć
интересоваться	interesować się
информировать	informować
искать	szukać
контролировать	kontrolować
красть	kraść
кричать	krzyczeć
купаться	kąpać się
лететь	lecieć
ловить	łowić
ломать	psuć
любить	kochać	кого-л.
молиться	modlić się
молчать	milczeć
мочь	móc
наблюдать	obserwować
надеяться	mieć nadzieję
наказывать	karać
настаивать	nalegać
упорствовать	upierać się
находить	znajdować
начинать	rozpoczynać
недооценивать	nie doceniać
нравиться	podobać się
обедать	jeść obiad
обещать	obiecać
обманывать	oszukiwać
обсуждать	omawiać
объединять	łączyć
объяснять	objaśniać
означать	znaczyć
освобождать	wyzwalać
оскорблять	znieważać
останавливаться	zatrzymywać się
отвечать	odpowiadać
отгадать	odgadnąć
отказываться	odmawiać
открывать	otwierać
отправлять	wysyłać
охотиться	polować
ошибаться	mylić się
