Phrase	Translation	Notes
время	czas
миг	chwilka
мгновение	chwila
мгновенный	błyskawiczny
отрезок	odcinek
жизнь	życie
вечность	wieczność
эпоха	epoka
эра	era
цикл	cykl
период	okres; czas
срок	termin
будущее	przyszłość
будущий	przyszły
в следующий раз	następnym razem
прошлое	przeszłość
прошлый	ubiegły
в прошлый раз	ostatnim razem
позже	później
после	po
сейчас	obecnie; teraz
немедленно	natychmiast
скоро	wkrótce
заранее	wcześniej
давно	dawno
недавно	niedawno
судьба	los
память	pamięć
архив	archiwum
во время …	podczas …
долго	długo
недолго	niedługo
рано	wcześnie
поздно	późno
навсегда	na zawsze
начинать	rozpoczynać
перенести	przesunąć
одновременно	jednocześnie
постоянно	stale
постоянный	ciągły
временный	tymczasowy
иногда	czasami
редко	rzadko
часто	często
