Phrase	Translation	Notes
бежать	biec
бояться	bać się
брать	brać
быть	być
видеть	widzieć
владеть	posiadać
возражать	sprzeciwiać się
входить	wchodzić
выбирать	wybierać
выходить	wychodzić
говорить	mówić
разговаривать	rozmawiać
готовить	gotować
давать	dawać
делать	robić
доверять	ufać
думать	myśleć
жаловаться	skarżyć się
ждать	czekać
забывать	zapominać
завтракать	jeść śniadanie
заказывать	zamawiać
заканчивать	kończyć
замечать	zauważać
записывать	zapisywać
защищать	bronić
звать	wołać
знать	znać	кого-л.
знать	wiedzieć	что-л.
