Phrase	Translation	Notes
квадрат	kwadrat
квадратный	kwadratowy
круг	koło
круглый	okrągły
треугольник	trójkąt
треугольный	trójkątny
овал	owal
овальный	owalny
прямоугольник	prostokąt
прямоугольный	prostokątny
пирамида	piramida
ромб	romb
трапеция	trapez
куб	sześcian
призма	graniastosłup
окружность	okrąg
сфера	powierzchnia kuli
шар	kula
диаметр	średnica
радиус	promień
периметр	obwód
центр	środek
горизонтальный	poziomy
вертикальный	pionowy
параллель	równoległa
параллельный	równoległy
линия	linia
черта	linia
прямая	prosta
кривая	krzywa
тонкий	cienki
контур	kontur
пересечение	przecięcie
прямой угол	kąt prosty
сегмент	segment
сектор	wycinek
сторона	strona
угол	kąt
